epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,552.522,1.1506,0.7823,1.46429,0.82605,0.80204,0.84829,0.4864,1.3518,0.73073,1.71814,0.000548212,0.000548212,0.000548212
43,565.52,1.14742,0.77862,1.45357,0.87762,0.80138,0.88324,0.49641,1.35643,0.71255,1.728,0.000534485,0.000534485,0.000534485
44,578.533,1.14408,0.78177,1.46066,0.87288,0.8189,0.88952,0.48546,1.38216,0.74151,1.72818,0.000520759,0.000520759,0.000520759
45,591.491,1.12675,0.76017,1.45345,0.88914,0.80029,0.86642,0.49559,1.33079,0.7373,1.67775,0.000507032,0.000507032,0.000507032
46,604.537,1.12854,0.74772,1.44037,0.86285,0.80487,0.88463,0.5126,1.33002,0.72464,1.67997,0.000493306,0.000493306,0.000493306
47,617.625,1.12222,0.75159,1.44204,0.84552,0.79185,0.85346,0.49208,1.33096,0.71288,1.67759,0.000479579,0.000479579,0.000479579
48,630.589,1.12615,0.76434,1.45459,0.8871,0.85068,0.92353,0.50617,1.35081,0.70754,1.70531,0.000465852,0.000465852,0.000465852
49,643.561,1.1129,0.74172,1.43715,0.8945,0.83687,0.89686,0.51212,1.32871,0.70425,1.69139,0.000452126,0.000452126,0.000452126
50,656.694,1.10995,0.73441,1.43172,0.88413,0.81417,0.883,0.49163,1.35399,0.71461,1.70403,0.000438399,0.000438399,0.000438399
51,669.742,1.08812,0.71867,1.41278,0.91153,0.82908,0.91757,0.51188,1.33749,0.70737,1.70411,0.000424673,0.000424673,0.000424673
52,682.903,1.09155,0.7308,1.41524,0.87263,0.81474,0.874,0.4991,1.32695,0.68555,1.68795,0.000410946,0.000410946,0.000410946
53,695.962,1.08055,0.71434,1.41787,0.91324,0.80644,0.89262,0.50651,1.32801,0.69621,1.69406,0.00039722,0.00039722,0.00039722
54,709.078,1.08629,0.7157,1.42201,0.84263,0.85301,0.88917,0.49203,1.35338,0.71394,1.73269,0.000383493,0.000383493,0.000383493
55,722.385,1.07329,0.69753,1.40873,0.86789,0.85045,0.89259,0.51649,1.31894,0.68377,1.69463,0.000369767,0.000369767,0.000369767
56,735.532,1.07792,0.72676,1.41227,0.8757,0.81066,0.89028,0.50066,1.36672,0.70406,1.74487,0.00035604,0.00035604,0.00035604
57,748.655,1.06219,0.69105,1.39667,0.89958,0.82456,0.88007,0.49225,1.35192,0.69476,1.71485,0.000342314,0.000342314,0.000342314
58,761.792,1.06145,0.69306,1.41204,0.9295,0.82209,0.88645,0.51337,1.32782,0.69476,1.70241,0.000328587,0.000328587,0.000328587
59,774.841,1.04273,0.67213,1.38973,0.83637,0.82411,0.88643,0.50988,1.3529,0.69342,1.73753,0.00031486,0.00031486,0.00031486
60,787.903,1.05286,0.66807,1.3905,0.91114,0.81495,0.89475,0.51357,1.34319,0.69022,1.71602,0.000301134,0.000301134,0.000301134
61,800.99,1.0343,0.66678,1.37699,0.84955,0.8375,0.89371,0.50793,1.354,0.67791,1.72806,0.000287407,0.000287407,0.000287407
62,814.084,1.04043,0.67309,1.386,0.91976,0.82653,0.89002,0.51541,1.34236,0.68231,1.72644,0.000273681,0.000273681,0.000273681
63,827.17,1.03189,0.66097,1.37484,0.91696,0.80173,0.8852,0.50104,1.3595,0.69262,1.74672,0.000259954,0.000259954,0.000259954
64,840.173,1.03471,0.6644,1.3744,0.87975,0.80243,0.88565,0.5035,1.35839,0.696,1.75519,0.000246228,0.000246228,0.000246228
65,853.257,1.03285,0.67605,1.3803,0.91717,0.82301,0.88349,0.49693,1.37044,0.68294,1.76608,0.000232501,0.000232501,0.000232501
66,866.292,1.01205,0.6514,1.35984,0.8832,0.81601,0.87731,0.50092,1.35192,0.68312,1.74069,0.000218775,0.000218775,0.000218775
67,879.315,1.00069,0.63848,1.36082,0.91562,0.81724,0.88482,0.50803,1.34996,0.68181,1.74835,0.000205048,0.000205048,0.000205048
68,892.379,0.9893,0.63375,1.35324,0.92117,0.80035,0.89454,0.50935,1.35781,0.67706,1.73991,0.000191322,0.000191322,0.000191322
69,905.438,1.0016,0.64519,1.35347,0.92663,0.79446,0.89736,0.5069,1.34922,0.691,1.73721,0.000177595,0.000177595,0.000177595
70,918.507,0.98108,0.63534,1.3533,0.87514,0.83412,0.89209,0.5045,1.34608,0.70275,1.74093,0.000163868,0.000163868,0.000163868
71,955.315,0.85067,0.48681,1.24653,0.90819,0.83333,0.89592,0.50759,1.33862,0.69332,1.75415,0.000150142,0.000150142,0.000150142
72,968.354,0.83527,0.47467,1.22932,0.93474,0.8179,0.89689,0.5097,1.34864,0.67077,1.75562,0.000136415,0.000136415,0.000136415
73,981.222,0.82584,0.46883,1.22588,0.8699,0.84764,0.8966,0.51093,1.3495,0.68488,1.76683,0.000122689,0.000122689,0.000122689
74,994.116,0.81914,0.46203,1.2263,0.89642,0.84479,0.90248,0.51803,1.34606,0.66762,1.7654,0.000108962,0.000108962,0.000108962
75,1007.43,0.82129,0.47051,1.22735,0.91922,0.83587,0.90355,0.50863,1.3602,0.67689,1.78669,9.52358e-05,9.52358e-05,9.52358e-05
76,1020.34,0.81295,0.46003,1.22062,0.90185,0.84269,0.90325,0.51619,1.36002,0.66554,1.7937,8.15092e-05,8.15092e-05,8.15092e-05
77,1033.28,0.79971,0.44813,1.20523,0.93845,0.81027,0.89811,0.5155,1.35038,0.68109,1.78888,6.77827e-05,6.77827e-05,6.77827e-05
78,1046.25,0.7959,0.45254,1.20686,0.93035,0.813,0.89857,0.50972,1.35548,0.67852,1.79238,5.40561e-05,5.40561e-05,5.40561e-05
79,1059.21,0.79299,0.44596,1.20366,0.93816,0.79881,0.88947,0.50696,1.36198,0.67849,1.79266,4.03296e-05,4.03296e-05,4.03296e-05
80,1072.18,0.78241,0.44087,1.19892,0.93426,0.80126,0.89148,0.50905,1.35288,0.67376,1.79006,2.6603e-05,2.6603e-05,2.6603e-05
