epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1096.58,1.31186,0.89593,1.37773,0.82906,0.82107,0.86869,0.47864,1.41363,0.73843,1.53856,0.000660045,0.000660045,0.000660045
43,1146.81,1.32251,0.8783,1.38826,0.83295,0.85811,0.89308,0.49881,1.39857,0.70122,1.52321,0.000649046,0.000649046,0.000649046
44,1801.64,1.30228,0.87264,1.36907,0.80773,0.83987,0.88365,0.49218,1.41597,0.72654,1.53889,0.000638047,0.000638047,0.000638047
45,2048.12,1.31003,0.89482,1.39613,0.89004,0.80395,0.91299,0.51696,1.39665,0.71386,1.53042,0.000627048,0.000627048,0.000627048
46,2152.6,1.32537,0.87376,1.39401,0.85593,0.85704,0.89697,0.50421,1.39794,0.69625,1.51657,0.000616049,0.000616049,0.000616049
47,2228.72,1.30346,0.87627,1.3816,0.91155,0.80071,0.89582,0.50615,1.40835,0.72892,1.54832,0.000605051,0.000605051,0.000605051
48,2302.83,1.29853,0.85883,1.34596,0.88208,0.84852,0.90794,0.49781,1.44624,0.72026,1.55533,0.000594052,0.000594052,0.000594052
49,2367.38,1.27691,0.83592,1.37298,0.8544,0.82659,0.90189,0.50009,1.36551,0.67167,1.50013,0.000583053,0.000583053,0.000583053
50,2432.44,1.28265,0.85045,1.36962,0.89154,0.83608,0.90551,0.49745,1.37929,0.68619,1.5213,0.000572054,0.000572054,0.000572054
51,2557.94,1.26121,0.83512,1.36727,0.89702,0.80651,0.9041,0.50084,1.40068,0.70682,1.55186,0.000561055,0.000561055,0.000561055
52,2651.76,1.25776,0.82673,1.36577,0.91919,0.81051,0.9016,0.50331,1.41937,0.67156,1.55516,0.000550056,0.000550056,0.000550056
53,2767.31,1.26084,0.81449,1.34061,0.87986,0.87939,0.90405,0.50311,1.41498,0.69887,1.5601,0.000539057,0.000539057,0.000539057
54,2842.29,1.25423,0.81523,1.35201,0.91411,0.85064,0.91906,0.52056,1.39504,0.67567,1.5302,0.000528058,0.000528058,0.000528058
55,2993.66,1.25664,0.81361,1.36655,0.86473,0.86125,0.91593,0.51519,1.4077,0.69828,1.54529,0.000517059,0.000517059,0.000517059
56,3064.98,1.25373,0.81437,1.35299,0.84326,0.88356,0.91065,0.51609,1.398,0.67582,1.5401,0.00050606,0.00050606,0.00050606
57,3125.66,1.23926,0.79505,1.34564,0.92301,0.82924,0.90692,0.51689,1.41385,0.67139,1.53958,0.000495062,0.000495062,0.000495062
58,3206.63,1.25843,0.80125,1.3513,0.88838,0.81497,0.87713,0.48056,1.4396,0.70538,1.56609,0.000484063,0.000484063,0.000484063
59,3342.74,1.2319,0.79536,1.36128,0.89986,0.84287,0.90405,0.515,1.36355,0.67204,1.52252,0.000473064,0.000473064,0.000473064
60,3419.38,1.22997,0.80198,1.33875,0.84272,0.82906,0.89552,0.50889,1.40211,0.67831,1.54684,0.000462065,0.000462065,0.000462065
61,3498.04,1.23165,0.80489,1.3399,0.89351,0.80232,0.88921,0.52233,1.36386,0.66843,1.51116,0.000451066,0.000451066,0.000451066
